positivity	majorType	cellType	newMajor	newCellType	Review	Comment	count	clusters
CD31_CXCL12_LAG3_panCK_PDL1	Ambiguous	Ambiguous	NA	NA	T	NA	34	Excluded Endothelial cells
alphaSMA_panCK	Ambiguous	Ambiguous	NA	NA	T	NA	8874	Excluded Epithelial cells
B2M_CD3_CD4_CD57_TIM3_Vimentin	CD4	CD39+CD57+ CD4 T cells	CD4	CD57+ CD4 T cells	F	NA	26218	CD4
CD3_CD4_CD57	CD4	CD39+CD57+ CD4 T cells	CD4 T cells	CD57+ CD4 T cells	F	NA	831	CD4
CD3_CD57_CD8a	CD8	CD39+CD57+ CD8 T cells	CD8	CD57+ CD8 T cells	F	NA	68	Excluded CD8
alphaSMA_CD103_CD3_CD39_CD8a	CD8	CD39+PD1+ CD8 Trm	CD8	CD8 Trm	F	NA	6888	CD8
casp3_CD103_CD25_CD3_CD39_CD8a_CTLA4_CXCR4_FAP1_GITR_ICOS_PD1_PDL1	CD8	CD39+PD1+ CD8 Trm	NA	NA	T	NA	69	Excluded CD8
casp3_CD103_CD3_CD39_CD4_CD8a_CXCR4_GITR	Ambiguous	CD39+PD1+ CD8 Trm	T cells	T cells DP	F	NA	13	Excluded CD4
casp3_CD103_CD3_CD39_CD4_CD8a_CXCR4_GITR	Epithelial cells	CD39+PD1+ CD8 Trm	T cells	T cells DP	NA	NA	1	Excluded CD4
casp3_CD103_CD3_CD39_CD4_CD8a_CXCR4_GITR	Epithelial cells	CD39+PD1+ CD8 Trm	T cells	T cells DP	F	NA	1	Excluded CD4
B2M_CCR7	CD4	CD4	CD4	CD4 Tcm	F	NA	2737	CD4
B2M_CD3_CD4	CD4	CD4	NA	NA	T	NA	18750	CD4
B2M_CD3_CD4_TIM3_Vimentin	CD4	CD4	NA	NA	T	NA	26218	CD4
CD3_CD4_Ki67	CD4	CD4	NA	NA	T	NA	15300	CD4_Excluded CD4
CD3_CD4_pSTAT1	CD4	CD4	NA	NA	T	NA	125	Excluded CD4
CD3_CD4	CD4	CD4	NA	NA	TRUE		129505	CD4_Excluded CD4
B2M_CCR7_CD45RA	CD4	CD4	CD4	Naive CD4 T cells	F	NA	7217	CD4
CD27_CD3_CD4	CD4	CD4 Tem	NA	NA	T	?	668	Excluded CD4
CD4	CD4	CD4+ Myeloid cells	CD4+ Myeloid cells	CD4+ Myeloid cells	F	NA	14536	Mesenchymal cells_Excluded CD4_CD4
CD103_CD3_CD8a_Ki67_PD1	CD8	CD8	CD8	CD8 Trm	F	NA	478	Excluded CD8
CD103_CD3_CD8a_panCK_pSTAT1	CD8	CD8	CD8	CD8 Trm	F	NA	1556	Excluded CD8
CD103_CD3_CD8a_PD1	CD8	CD8	CD8 T cells	CD8 Trm	F	NA	9773	CD8
CD103_CD3_CD8a_panCK_PD1_pSTAT1	CD8	CD8	CD8 T cells	CD8 Trm	T	NA	1556	Excluded CD8
CD3_CD8a	CD8	CD8	NA	NA	TRUE		51766	CD8_Excluded CD8
CD8a	CD8	CD8	NA	NA	TRUE		3013	Excluded CD8
B2M_CD103_CD3_CD57_CD8a_Vimentin	CD8	CD8 Exhausted TDT	CD8 T cells	CD57+ CD8 Trm	F	NA	9215	CD8
CD103_CD3_CD57_CD8a_CTLA4_FAP1_GATA3_ICOS_PD1_PDL1	CD8	CD8 Exhausted TDT	CD8 T cells	CD57+ CD8 Trm	F	NA	579	CD8
alphaSMA_B2M_CD103_CD3_CD39_CD57_CD8a_Vimentin	CD8	CD8 Exhausted TDT	NA	NA	T	NA	10037	CD8
B2M_casp3_CD103_CD25_CD3_CD39_CD57_CD8a_CXCR4_FAP1_LAG3_PDL1_TIM3	CD8	CD8 Exhausted TDT	NA	NA	T	NA	511	CD8
casp3_CD103_CD25_CD3_CD39_CD57_CD8a_CXCR4_FAP1_LAG3_PDL1_TIM3	CD8	CD8 Exhausted TDT	NA	NA	T	NA	511	CD8
B2M_casp3_CCR7_CD103_CD27_CD3_CD39_CD57_CD8a_ICOS_PDL1_TCF1_TIM3_Vimentin	CD8	CD8 Tcm	CD8	CD8 Exhausted TDT	F	NA	17047	CD8
B2M_casp3_CCR7_CD103_CD27_CD3_CD39_CD57_CD8a_FAP1_ICOS_PDL1_TCF1_TIM3_Vimentin	CD8	CD8 Tcm	CD8	CD8 Exhausted TDT	F	NA	17047	CD8
CCR7_CD103_CD3_CD8a_GZMB_Ki67_panCK_PD1_pSTAT1	CD8	CD8 Tcm	CD8	Cytotoxic CD8 T cells	F	NA	8410	CD8
CCR7_CD103_CD3_CD8a_GZMB_panCK_PD1_pSTAT1	CD8	CD8 Tcm	CD8 T cells	Cytotoxic CD8 Trm	F	NA	8410	CD8
CCR7_CD103_CD3_CD8a_GZMB_Ki67_panCK_PD1_pSTAT1	CD8	CD8 Tcm	CD8	GZMB+ CD8 T cells	F	NA	8410	CD8
CCR7_CD103_CD3_CD8a_GZMB_panCK_PD1_pSTAT1	CD8	CD8 Tcm	CD8 T cells	GZMB+ CD8 Trm	F	NA	8410	CD8
B2M_CCR7_CD45RA_CD8a	CD8	CD8 Tcm	CD8	Naive CD8 T cells	F	NA	2400	CD8
casp3_CD103_CD3_CD8a_CXCR4_ICOS	CD8	CD8 Trm	NA	NA	T	NA	69	Excluded CD8
CD103_CD3_CD8a	CD8	CD8 Trm	NA	NA	T	NA	83345	CD8
CD103_CD3_CD8a_Ki67	CD8	CD8 Trm	NA	NA	T	NA	804	Excluded CD8
CD103_CD3_CD8a_pSTAT1	CD8	CD8 Trm	NA	NA	T	NA	1556	Excluded CD8
B2M_CD103_CD3_CD8a_Vimentin	CD8	CD8 Trm	NA	NA	T	NA	9215	CD8
CD103_CD3_CD8a_CXCR4_ICOS	CD8	CD8 Trm	NA	NA	T	NA	69	Excluded CD8
B2M_CD3_CD4_GATA3_GZMB	CD4	Cytotoxic CD4 T cells	NA	NA	T	NA	7181	CD4
CD103_CD27_CD3_CD8a_GZMB_Ki67_PD1	CD8	Cytotoxic CD8 T cells	NA	NA	T	NA	14020	CD8
CD103_CD3_CD8a_GZMB	CD8	Cytotoxic CD8 T cells	NA	NA	T	NA	937	Excluded CD8
CD103_CD3_CD8a_GZMB_Ki67	CD8	Cytotoxic CD8 T cells	NA	NA	T	NA	7747	CD8_Excluded CD8
CD3_CD57_CD8a_GZMB	CD8	Cytotoxic CD8 T cells	NA	NA	T	NA	68	Excluded CD8
B2M_casp3_CCR7_CD103_CD57_CTLA4_CXCL12_CXCR4_CXCR6_FAP1_FOXP3_GITR_ICOS_panCK_PD1_PDL1_pSTAT1_TIM3_Vimentin	Epithelial cells	EMT	Epithelial cells	Epithelial cells	F	NA	4061	Epithelial cells
