positive	OldMajorType	OldCellType	majorType	cellType	Review	Comment	mostLikelyCelltype	cellCount	clusters	cellType_markers	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11
1	CD11b_CD14_CD20_CD3_CD31_CD45_CD79a_panCK	Epithelial cells Region	B cells	Epithelial cells	Epithelial cells	F	NA	36	149	36	Vimentin,CD45,CD20,CD79a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	CD11b_CD14_CD20_CD3_CD31_CD45_CD79a_panCK	Ambiguous	B cells	Ambiguous	Ambiguous	F	NA	36	812	36	Vimentin,CD45,CD20,CD79a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	CD20_CD3_CD4_CD45_CD79a_panCK	Ambiguous	B cells	Ambiguous	Ambiguous	F	NA	10	1824	10	Vimentin,CD45,CD20,CD79a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	CD20_CD3_CD4_CD45_CD79a_panCK	Epithelial cells Region	B cells	Epithelial cells	Epithelial cells	F	NA	10	3046	10	Vimentin,CD45,CD20,CD79a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	CD14_CD163_CD3_CD45_CD79a_CD8a	Epithelial cells Region	CD8 T cells	Ambiguous	Ambiguous	F	NA	28	26	28	Vimentin,CD45,CD3,CD8a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	CD3_CD45_CD79a_CD8a	Epithelial cells Region	CD8 T cells	Ambiguous	Ambiguous	F	NA	4	13831	4	Vimentin,CD45,CD3,CD8a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	CD31_CD79a	Epithelial cells Region	Epithelial cells Region	Ambiguous	Ambiguous	F	NA	11	4716	11	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	CD11b_CD163_CD206_CD31_CD4_CD68	Epithelial cells Region	Macrophages	Macrophages	M2	F	NA	39	27	39	Vimentin,CD45,CD11b,CD14,CD68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	CD11b_CD14_CD163_CD20_CD206_CD3_CD68_CD79a_CD8a	Epithelial cells Region	Macrophages	Ambiguous	Ambiguous	F	NA	41|44	306	41_44	Vimentin,CD45,CD11b,CD14,CD68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	CD11b_CD14_CD163_CD20_CD206_CD68_CD8a	Epithelial cells Region	Macrophages	Ambiguous	Ambiguous	F	NA	42|43	711	42_43	Vimentin,CD45,CD11b,CD14,CD68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11	CD14_CD163_CD20_CD206_CD68_CD8a	Epithelial cells Region	Macrophages	Ambiguous	Ambiguous	F	NA	40	828	40	Vimentin,CD45,CD11b,CD14,CD68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12	CD163_CD20_CD206_CD4_CD68	Epithelial cells Region	Macrophages	Ambiguous	Ambiguous	F	NA	38	1579	38	Vimentin,CD45,CD11b,CD14,CD68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13	CD163_CD206_CD4	Epithelial cells Region	Macrophages	Macrophages	M2	F	NA	6	5326	6	Vimentin,CD45,CD11b,CD14,CD68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
14	CD163_CD206_CD4_CD68	Epithelial cells Region	Macrophages	Macrophages	M2	F	NA	32|37	8442	32_37	Vimentin,CD45,CD11b,CD14,CD68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
15	CD14_CD163_CD206_CD4_CD68	Epithelial cells Region	Macrophages	Macrophages	M2	F	NA	19	15805	19	Vimentin,CD45,CD11b,CD14,CD68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16	CD4_panCK	Ambiguous	Ambiguous	NA	NA	T	NA	9	4489	9		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17	CD31_CD79a_panCK	Ambiguous	Ambiguous	NA	NA	T	NA	8	49452	8		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18	CD20_CD3_CD4_CD45_CD8a	Ambiguous	Ambiguous	NA	NA	T	NA	3	75081	3		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
