positivity	majorType	cellType	newMajor	newCellType	Review	Comment	count	clusters
CD103_CD11c_CD3_CD4_CD45_CD8a_CLEC9a_IDO_KIR2DL3_LAG3_MHCII_panactin_PDL1_TIM3_VISTA	Ambiguous	mDC	Ambiguous	Ambiguous	F	NA	168	Excluded CD8
CD103_CD20_CD3_CD4_CD45_CD8a_IDO_MHCII_panactin_PD1_TIM3	Ambiguous	Lymphocytes	Ambiguous	Ambiguous	F	NA	332	Excluded CD8
CD103_CD20_CD3_CD4_CD45_CD8a_LAG3_panactin_VISTA	Ambiguous	Lymphocytes	Ambiguous	Ambiguous	F	NA	254	Excluded CD8
CD103_CD20_CD4_CD45_CD8a_panactin	Ambiguous	Lymphocytes	Ambiguous	Ambiguous	F	NA	285	Excluded CD8
CD103_CD20_CD45_CD8a_CLEC9a_LAG3_panactin_TIM3_VISTA	Ambiguous	B cells	Ambiguous	Ambiguous	F	NA	282	Excluded CD8
CD103_CD20_CD45_CD8a_KIR2DL3_LAG3_panactin_PD1_TIM3	Ambiguous	Lymphocytes	Ambiguous	Ambiguous	F	NA	144	Excluded CD8
CD103_CD20_CD45_CD8a_KIR2DL3_LAG3_panactin_TIM3	Ambiguous	Lymphocytes	Ambiguous	Ambiguous	F	NA	144	Excluded CD8
CD103_CD20_CD45_CD8a_LAG3_panactin_TIM3	Ambiguous	B cells	Ambiguous	Ambiguous	F	NA	324	Excluded CD8
CD103_CD20_CD45_CD8a_panactin	Ambiguous	B cells	Ambiguous	Ambiguous	F	NA	225	Excluded CD8
CD103_CD3_CD4_CD45_CD8a_CLEC9a_IDO_LAG3_panactin_TIM3_VISTA	Ambiguous	CD8 Trm	Ambiguous	Ambiguous	F	NA	223	Excluded CD8
CD16_CD163_CD38_CD4_CD56_CD66b_CD79a_CLEC9a_IDO_KIR2DL3_LAG3_MCT4_MPO_PDL1_TCRd	Ambiguous	Cytotoxic lymphocytes	Ambiguous	Ambiguous	F	NA	107	Excluded CD4
CD20_CD4_CD45_panactin	Ambiguous	B cells	Ambiguous	Ambiguous	F	NA	588	Excluded Leukocytes
CD38_CD4_CD79a_CLEC9a_IDO_KIR2DL3_TCRd	Ambiguous	Tgd	Ambiguous	Ambiguous	F	NA	39	Excluded CD4
CD4_CD79a_CLEC9a_IDO_KIR2DL3_LAG3_TCRd	Ambiguous	Tgd	Ambiguous	Ambiguous	F	NA	133	Excluded CD4
CD56_TIM3_CD20_CD8a_PD1_CD103	Ambiguous	Lymphocytes	Ambiguous	Ambiguous	FALSE		100	Excluded CD8
CLEC9a_KIR2DL3_CD56_CD79a_CD4_IDO_CD16_CD66b_CD38_LAG3_TCRd_MCT4_PDL1	Ambiguous	Cytotoxic lymphocytes	Ambiguous	Ambiguous	FALSE		102	Excluded CD4
CLEC9a_KIR2DL3_CD56_CD79a_CD4_IDO_CD16_CD66b_CD38_TCRd_MCT4	Ambiguous	Cytotoxic lymphocytes	Ambiguous	Ambiguous	F	NA	34	Excluded CD4
CLEC9a_KIR2DL3_CD56_TIM3_CD79a_CD14_CD4_IDO_CD16_CD66b_CD38_LAG3_TCRd_MCT4_PDL1	Ambiguous	Cytotoxic lymphocytes	Ambiguous	Ambiguous	F	NA	105	Excluded CD4
CLEC9a_KIR2DL3_VISTA_CD56_CD79a_CD4_IDO_CD11c_CD66b_CD38_LAG3_CD103_PDL1	Ambiguous	Lymphocytes	Ambiguous	Ambiguous	FALSE		16	Excluded B cells
CLEC9a_KIR2DL3_VISTA_CD56_TIM3_CD14_CD20_CD8a_PD1_IDO_CD73_CAIX_CD11c_LAG3_CD103_MCT4	Ambiguous	Lymphocytes	T cells	T cells DP	FALSE		142	Excluded CD8
CLEC9a_KIR2DL3_VISTA_CD56_TIM3_CD45_MHCII_panactin_CD14_CD20_CD3_CD4_CD8a_PD1_IDO_CD73_CAIX_CD11c_CD38_LAG3_CD103_MCT4	Ambiguous	Lymphocytes	Ambiguous	Ambiguous	FALSE		282	Excluded CD8
