positivity	majorType	cellType	newMajor	newCellType	Review	Comment	count	clusters		
CAIX	Epithelial cells Region	Epithelial cells Region	Epithelial cells	Epithelial cells	NA	Epithelial cells	8986	Epithelial cells	"panCK,CAM52"	
CAIX	Endothelial cells	Endothelial cells	NA	NA	TRUE		196	Endothelial cells		
CAIX	Leukocytes	Leukocytes	NA	NA	TRUE		29123	Leukocytes		
CAIX	Unassigned	Unassigned	NA	NA	T	Do not assign to major	Epithelial cells	18037	Epithelial cells	
CAIX	Unassigned	Unassigned	NA	NA	T	FastPG_False	Epithelial cells	25657	Epithelial cells	
CAIX	Epithelial cells	Epithelial cells	Unassigned	Unassigned	F		32433	Epithelial cells		
CAIX	Unassigned	Epithelial cells	Unassigned	Unassigned	F	Do not assign to major	Epithelial cells	8986	Epithelial cells	"panCK,CAM52"
CAIX	Unassigned	Epithelial cells	Unassigned	Unassigned	F	FastPG_False	Epithelial cells	19141	Epithelial cells	
CAIX	Epithelial cells	Epithelial cells	Unassigned	Unassigned	FALSE	Epithelial cells	18037	Epithelial cells		
CAIX_CD103_CD11b_CD11c_CD14_CD16_CD163_CD20_CD206_CD3_CD31_CD38_CD4_CD45_CD56_CD66b_CD68_CD73_CD79a_CD8a_CLEC9a_GZMB_IDO_KIR2DL3_LAG3_MCT4_MHCII_MPO_panactin_panCK_PD1_PDL1_TCRd_TIM3_VISTA	Macrophages	M2	NA	NA	T	NA	173	Excluded Macrophages		
CAIX_CD103_CD11b_CD11c_CD14_CD16_CD163_CD20_CD206_CD3_CD31_CD4_CD56_CD66b_CD68_CD73_CD79a_CD8a_CLEC9a_GZMB_IDO_KIR2DL3_LAG3_MCT4_MPO_panactin_panCK_PDL1_TCRd_TIM3_VISTA	Macrophages	M2	NA	NA	T	NA	1922	Macrophages		
CAIX_CD103_CD11b_CD11c_CD14_CD16_CD163_CD20_CD206_CD3_CD38_CD4_CD45_CD56_CD66b_CD68_CD73_CD79a_CD8a_CLEC9a_GZMB_IDO_KIR2DL3_LAG3_MCT4_MHCII_MPO_panactin_panCK_PD1_PDL1_TCRd_TIM3_VISTA	Macrophages	M2	NA	NA	T	NA	79	Excluded Macrophages		
